,KEY,FREQ,ADJUSTMENT,REF_AREA,COUNTERPART_AREA,REF_SECTOR,COUNTERPART_SECTOR,ACCOUNTING_ENTRY,STO,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICES,TRANSFORMATION,TIME_PERIOD,OBS_VALUE,OBS_STATUS,CONF_STATUS,PRE_BREAK_VALUE,COMMENT_OBS,EMBARGO_DATE,TIME_FORMAT,COMMENT_TS,COMPILING_ORG,CURRENCY,DATA_COMP,DECIMALS,DISS_ORG,LAST_UPDATE,REF_PERIOD_DETAIL,REF_YEAR_PRICE,REPYEAREND,REPYEARSTART,TABLE_IDENTIFIER,TIME_PER_COLLECT,TITLE,TITLE_COMPL,UNIT_MULT,COMMENT_DSET
0,MNA.Q.Y.I9.W0.S1M.S1.D.P31._Z._Z._T.EUR.V.N,Q,Y,I9,W0,S1M,S1,D,P31,_Z,_Z,_T,EUR,V,N,1995-Q1,789429.259698234,A,F,,,,P3M,"Individual consumption expenditure - Euro area 20 (fixed composition) as of 1 January 2023 - World (all entities, including reference area, including IO), Households and non profit institutions serving households (NPISH), Euro, Current prices, , Calendar and seasonally adjusted data",4D0,,,2,,,C,,,,,S,Private final consumption,,6,
1,MNA.Q.Y.I9.W0.S1M.S1.D.P31._Z._Z._T.EUR.V.N,Q,Y,I9,W0,S1M,S1,D,P31,_Z,_Z,_T,EUR,V,N,1995-Q2,800069.522211799,A,F,,,,P3M,"Individual consumption expenditure - Euro area 20 (fixed composition) as of 1 January 2023 - World (all entities, including reference area, including IO), Households and non profit institutions serving households (NPISH), Euro, Current prices, , Calendar and seasonally adjusted data",4D0,,,2,,,C,,,,,S,Private final consumption,,6,
2,MNA.Q.Y.I9.W0.S1M.S1.D.P31._Z._Z._T.EUR.V.N,Q,Y,I9,W0,S1M,S1,D,P31,_Z,_Z,_T,EUR,V,N,1995-Q3,812364.351152346,A,F,,,,P3M,"Individual consumption expenditure - Euro area 20 (fixed composition) as of 1 January 2023 - World (all entities, including reference area, including IO), Households and non profit institutions serving households (NPISH), Euro, Current prices, , Calendar and seasonally adjusted data",4D0,,,2,,,C,,,,,S,Private final consumption,,6,
3,MNA.Q.Y.I9.W0.S1M.S1.D.P31._Z._Z._T.EUR.V.N,Q,Y,I9,W0,S1M,S1,D,P31,_Z,_Z,_T,EUR,V,N,1995-Q4,820553.775832213,A,F,,,,P3M,"Individual consumption expenditure - Euro area 20 (fixed composition) as of 1 January 2023 - World (all entities, including reference area, including IO), Households and non profit institutions serving households (NPISH), Euro, Current prices, , Calendar and seasonally adjusted data",4D0,,,2,,,C,,,,,S,Private final consumption,,6,
4,MNA.Q.Y.I9.W0.S1M.S1.D.P31._Z._Z._T.EUR.V.N,Q,Y,I9,W0,S1M,S1,D,P31,_Z,_Z,_T,EUR,V,N,1996-Q1,833999.273519695,A,F,,,,P3M,"Individual consumption expenditure - Euro area 20 (fixed composition) as of 1 January 2023 - World (all entities, including reference area, including IO), Households and non profit institutions serving households (NPISH), Euro, Current prices, , Calendar and seasonally adjusted data",4D0,,,2,,,C,,,,,S,Private final consumption,,6,
5,MNA.Q.Y.I9.W0.S1M.S1.D.P31._Z._Z._T.EUR.V.N,Q,Y,I9,W0,S1M,S1,D,P31,_Z,_Z,_T,EUR,V,N,1996-Q2,842798.044612116,A,F,,,,P3M,"Individual consumption expenditure - Euro area 20 (fixed composition) as of 1 January 2023 - World (all entities, including reference area, including IO), Households and non profit institutions serving households (NPISH), Euro, Current prices, , Calendar and seasonally adjusted data",4D0,,,2,,,C,,,,,S,Private final consumption,,6,
6,MNA.Q.Y.I9.W0.S1M.S1.D.P31._Z._Z._T.EUR.V.N,Q,Y,I9,W0,S1M,S1,D,P31,_Z,_Z,_T,EUR,V,N,1996-Q3,851145.059160171,A,F,,,,P3M,"Individual consumption expenditure - Euro area 20 (fixed composition) as of 1 January 2023 - World (all entities, including reference area, including IO), Households and non profit institutions serving households (NPISH), Euro, Current prices, , Calendar and seasonally adjusted data",4D0,,,2,,,C,,,,,S,Private final consumption,,6,
7,MNA.Q.Y.I9.W0.S1M.S1.D.P31._Z._Z._T.EUR.V.N,Q,Y,I9,W0,S1M,S1,D,P31,_Z,_Z,_T,EUR,V,N,1996-Q4,851529.913172622,A,F,,,,P3M,"Individual consumption expenditure - Euro area 20 (fixed composition) as of 1 January 2023 - World (all entities, including reference area, including IO), Households and non profit institutions serving households (NPISH), Euro, Current prices, , Calendar and seasonally adjusted data",4D0,,,2,,,C,,,,,S,Private final consumption,,6,
8,MNA.Q.Y.I9.W0.S1M.S1.D.P31._Z._Z._T.EUR.V.N,Q,Y,I9,W0,S1M,S1,D,P31,_Z,_Z,_T,EUR,V,N,1997-Q1,852816.430037892,A,F,,,,P3M,"Individual consumption expenditure - Euro area 20 (fixed composition) as of 1 January 2023 - World (all entities, including reference area, including IO), Households and non profit institutions serving households (NPISH), Euro, Current prices, , Calendar and seasonally adjusted data",4D0,,,2,,,C,,,,,S,Private final consumption,,6,
9,MNA.Q.Y.I9.W0.S1M.S1.D.P31._Z._Z._T.EUR.V.N,Q,Y,I9,W0,S1M,S1,D,P31,_Z,_Z,_T,EUR,V,N,1997-Q2,855582.883296966,A,F,,,,P3M,"Individual consumption expenditure - Euro area 20 (fixed composition) as of 1 January 2023 - World (all entities, including reference area, including IO), Households and non profit institutions serving households (NPISH), Euro, Current prices, , Calendar and seasonally adjusted data",4D0,,,2,,,C,,,,,S,Private final consumption,,6,
10,MNA.Q.Y.I9.W0.S1M.S1.D.P31._Z._Z._T.EUR.V.N,Q,Y,I9,W0,S1M,S1,D,P31,_Z,_Z,_T,EUR,V,N,1997-Q3,863121.861526603,A,F,,,,P3M,"Individual consumption expenditure - Euro area 20 (fixed composition) as of 1 January 2023 - World (all entities, including reference area, including IO), Households and non profit institutions serving households (NPISH), Euro, Current prices, , Calendar and seasonally adjusted data",4D0,,,2,,,C,,,,,S,Private final consumption,,6,
11,MNA.Q.Y.I9.W0.S1M.S1.D.P31._Z._Z._T.EUR.V.N,Q,Y,I9,W0,S1M,S1,D,P31,_Z,_Z,_T,EUR,V,N,1997-Q4,877021.620333032,A,F,,,,P3M,"Individual consumption expenditure - Euro area 20 (fixed composition) as of 1 January 2023 - World (all entities, including reference area, including IO), Households and non profit institutions serving households (NPISH), Euro, Current prices, , Calendar and seasonally adjusted data",4D0,,,2,,,C,,,,,S,Private final consumption,,6,
12,MNA.Q.Y.I9.W0.S1M.S1.D.P31._Z._Z._T.EUR.V.N,Q,Y,I9,W0,S1M,S1,D,P31,_Z,_Z,_T,EUR,V,N,1998-Q1,878050.305925596,A,F,,,,P3M,"Individual consumption expenditure - Euro area 20 (fixed composition) as of 1 January 2023 - World (all entities, including reference area, including IO), Households and non profit institutions serving households (NPISH), Euro, Current prices, , Calendar and seasonally adjusted data",4D0,,,2,,,C,,,,,S,Private final consumption,,6,
13,MNA.Q.Y.I9.W0.S1M.S1.D.P31._Z._Z._T.EUR.V.N,Q,Y,I9,W0,S1M,S1,D,P31,_Z,_Z,_T,EUR,V,N,1998-Q2,886217.592905383,A,F,,,,P3M,"Individual consumption expenditure - Euro area 20 (fixed composition) as of 1 January 2023 - World (all entities, including reference area, including IO), Households and non profit institutions serving households (NPISH), Euro, Current prices, , Calendar and seasonally adjusted data",4D0,,,2,,,C,,,,,S,Private final consumption,,6,
14,MNA.Q.Y.I9.W0.S1M.S1.D.P31._Z._Z._T.EUR.V.N,Q,Y,I9,W0,S1M,S1,D,P31,_Z,_Z,_T,EUR,V,N,1998-Q3,898979.863848007,A,F,,,,P3M,"Individual consumption expenditure - Euro area 20 (fixed composition) as of 1 January 2023 - World (all entities, including reference area, including IO), Households and non profit institutions serving households (NPISH), Euro, Current prices, , Calendar and seasonally adjusted data",4D0,,,2,,,C,,,,,S,Private final consumption,,6,
15,MNA.Q.Y.I9.W0.S1M.S1.D.P31._Z._Z._T.EUR.V.N,Q,Y,I9,W0,S1M,S1,D,P31,_Z,_Z,_T,EUR,V,N,1998-Q4,913532.117867953,A,F,,,,P3M,"Individual consumption expenditure - Euro area 20 (fixed composition) as of 1 January 2023 - World (all entities, including reference area, including IO), Households and non profit institutions serving households (NPISH), Euro, Current prices, , Calendar and seasonally adjusted data",4D0,,,2,,,C,,,,,S,Private final consumption,,6,
16,MNA.Q.Y.I9.W0.S1M.S1.D.P31._Z._Z._T.EUR.V.N,Q,Y,I9,W0,S1M,S1,D,P31,_Z,_Z,_T,EUR,V,N,1999-Q1,921302.55971129,A,F,,,,P3M,"Individual consumption expenditure - Euro area 20 (fixed composition) as of 1 January 2023 - World (all entities, including reference area, including IO), Households and non profit institutions serving households (NPISH), Euro, Current prices, , Calendar and seasonally adjusted data",4D0,,,2,,,C,,,,,S,Private final consumption,,6,
17,MNA.Q.Y.I9.W0.S1M.S1.D.P31._Z._Z._T.EUR.V.N,Q,Y,I9,W0,S1M,S1,D,P31,_Z,_Z,_T,EUR,V,N,1999-Q2,932696.112706075,A,F,,,,P3M,"Individual consumption expenditure - Euro area 20 (fixed composition) as of 1 January 2023 - World (all entities, including reference area, including IO), Households and non profit institutions serving households (NPISH), Euro, Current prices, , Calendar and seasonally adjusted data",4D0,,,2,,,C,,,,,S,Private final consumption,,6,
18,MNA.Q.Y.I9.W0.S1M.S1.D.P31._Z._Z._T.EUR.V.N,Q,Y,I9,W0,S1M,S1,D,P31,_Z,_Z,_T,EUR,V,N,1999-Q3,945828.16306599,A,F,,,,P3M,"Individual consumption expenditure - Euro area 20 (fixed composition) as of 1 January 2023 - World (all entities, including reference area, including IO), Households and non profit institutions serving households (NPISH), Euro, Current prices, , Calendar and seasonally adjusted data",4D0,,,2,,,C,,,,,S,Private final consumption,,6,
19,MNA.Q.Y.I9.W0.S1M.S1.D.P31._Z._Z._T.EUR.V.N,Q,Y,I9,W0,S1M,S1,D,P31,_Z,_Z,_T,EUR,V,N,1999-Q4,957545.916530336,A,F,,,,P3M,"Individual consumption expenditure - Euro area 20 (fixed composition) as of 1 January 2023 - World (all entities, including reference area, including IO), Households and non profit institutions serving households (NPISH), Euro, Current prices, , Calendar and seasonally adjusted data",4D0,,,2,,,C,,,,,S,Private final consumption,,6,
20,MNA.Q.Y.I9.W0.S1M.S1.D.P31._Z._Z._T.EUR.V.N,Q,Y,I9,W0,S1M,S1,D,P31,_Z,_Z,_T,EUR,V,N,2000-Q1,973423.929903649,A,F,,,,P3M,"Individual consumption expenditure - Euro area 20 (fixed composition) as of 1 January 2023 - World (all entities, including reference area, including IO), Households and non profit institutions serving households (NPISH), Euro, Current prices, , Calendar and seasonally adjusted data",4D0,,,2,,,C,,,,,S,Private final consumption,,6,
21,MNA.Q.Y.I9.W0.S1M.S1.D.P31._Z._Z._T.EUR.V.N,Q,Y,I9,W0,S1M,S1,D,P31,_Z,_Z,_T,EUR,V,N,2000-Q2,985931.819846669,A,F,,,,P3M,"Individual consumption expenditure - Euro area 20 (fixed composition) as of 1 January 2023 - World (all entities, including reference area, including IO), Households and non profit institutions serving households (NPISH), Euro, Current prices, , Calendar and seasonally adjusted data",4D0,,,2,,,C,,,,,S,Private final consumption,,6,
22,MNA.Q.Y.I9.W0.S1M.S1.D.P31._Z._Z._T.EUR.V.N,Q,Y,I9,W0,S1M,S1,D,P31,_Z,_Z,_T,EUR,V,N,2000-Q3,997116.772797874,A,F,,,,P3M,"Individual consumption expenditure - Euro area 20 (fixed composition) as of 1 January 2023 - World (all entities, including reference area, including IO), Households and non profit institutions serving households (NPISH), Euro, Current prices, , Calendar and seasonally adjusted data",4D0,,,2,,,C,,,,,S,Private final consumption,,6,
23,MNA.Q.Y.I9.W0.S1M.S1.D.P31._Z._Z._T.EUR.V.N,Q,Y,I9,W0,S1M,S1,D,P31,_Z,_Z,_T,EUR,V,N,2000-Q4,1007257.39664535,A,F,,,,P3M,"Individual consumption expenditure - Euro area 20 (fixed composition) as of 1 January 2023 - World (all entities, including reference area, including IO), Households and non profit institutions serving households (NPISH), Euro, Current prices, , Calendar and seasonally adjusted data",4D0,,,2,,,C,,,,,S,Private final consumption,,6,
24,MNA.Q.Y.I9.W0.S1M.S1.D.P31._Z._Z._T.EUR.V.N,Q,Y,I9,W0,S1M,S1,D,P31,_Z,_Z,_T,EUR,V,N,2001-Q1,1020915.56640394,A,F,,,,P3M,"Individual consumption expenditure - Euro area 20 (fixed composition) as of 1 January 2023 - World (all entities, including reference area, including IO), Households and non profit institutions serving households (NPISH), Euro, Current prices, , Calendar and seasonally adjusted data",4D0,,,2,,,C,,,,,S,Private final consumption,,6,
25,MNA.Q.Y.I9.W0.S1M.S1.D.P31._Z._Z._T.EUR.V.N,Q,Y,I9,W0,S1M,S1,D,P31,_Z,_Z,_T,EUR,V,N,2001-Q2,1031517.04991707,A,F,,,,P3M,"Individual consumption expenditure - Euro area 20 (fixed composition) as of 1 January 2023 - World (all entities, including reference area, including IO), Households and non profit institutions serving households (NPISH), Euro, Current prices, , Calendar and seasonally adjusted data",4D0,,,2,,,C,,,,,S,Private final consumption,,6,
26,MNA.Q.Y.I9.W0.S1M.S1.D.P31._Z._Z._T.EUR.V.N,Q,Y,I9,W0,S1M,S1,D,P31,_Z,_Z,_T,EUR,V,N,2001-Q3,1038541.07490348,A,F,,,,P3M,"Individual consumption expenditure - Euro area 20 (fixed composition) as of 1 January 2023 - World (all entities, including reference area, including IO), Households and non profit institutions serving households (NPISH), Euro, Current prices, , Calendar and seasonally adjusted data",4D0,,,2,,,C,,,,,S,Private final consumption,,6,
27,MNA.Q.Y.I9.W0.S1M.S1.D.P31._Z._Z._T.EUR.V.N,Q,Y,I9,W0,S1M,S1,D,P31,_Z,_Z,_T,EUR,V,N,2001-Q4,1046451.40941004,A,F,,,,P3M,"Individual consumption expenditure - Euro area 20 (fixed composition) as of 1 January 2023 - World (all entities, including reference area, including IO), Households and non profit institutions serving households (NPISH), Euro, Current prices, , Calendar and seasonally adjusted data",4D0,,,2,,,C,,,,,S,Private final consumption,,6,
