,KEY,FREQ,REF_AREA,REF_SECTOR,ACCOUNT_ENTRY,STO,INSTR_ASSET,DWA_GRP,UNIT_MEASURE,VALUATION,TRANSFORMATION,TIME_PERIOD,OBS_VALUE,OBS_STATUS,CONF_STATUS,PRE_BREAK_VALUE,COMMENT_OBS,TIME_FORMAT,COMMENT_TS,COMPILING_ORG,DATA_COMP,DECIMALS,DISS_ORG,TIME_PER_COLLECT,TITLE,TITLE_COMPL,UNIT_MULT
0,DWA.Q.I9.S14.A.LE.F51M._Z.EUR.S.N,Q,I9,S14,A,LE,F51M,_Z,EUR,S,N,2009-Q1,2433442.25,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Financial business wealth of households,,6
1,DWA.Q.I9.S14.A.LE.F51M._Z.EUR.S.N,Q,I9,S14,A,LE,F51M,_Z,EUR,S,N,2009-Q2,2473142.39,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Financial business wealth of households,,6
2,DWA.Q.I9.S14.A.LE.F51M._Z.EUR.S.N,Q,I9,S14,A,LE,F51M,_Z,EUR,S,N,2009-Q3,2576393.26,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Financial business wealth of households,,6
3,DWA.Q.I9.S14.A.LE.F51M._Z.EUR.S.N,Q,I9,S14,A,LE,F51M,_Z,EUR,S,N,2009-Q4,2564141.07,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Financial business wealth of households,,6
4,DWA.Q.I9.S14.A.LE.F51M._Z.EUR.S.N,Q,I9,S14,A,LE,F51M,_Z,EUR,S,N,2010-Q1,2587176.63,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Financial business wealth of households,,6
5,DWA.Q.I9.S14.A.LE.F51M._Z.EUR.S.N,Q,I9,S14,A,LE,F51M,_Z,EUR,S,N,2010-Q2,2534212.41,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Financial business wealth of households,,6
6,DWA.Q.I9.S14.A.LE.F51M._Z.EUR.S.N,Q,I9,S14,A,LE,F51M,_Z,EUR,S,N,2010-Q3,2596377.49,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Financial business wealth of households,,6
7,DWA.Q.I9.S14.A.LE.F51M._Z.EUR.S.N,Q,I9,S14,A,LE,F51M,_Z,EUR,S,N,2010-Q4,2636810.52,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Financial business wealth of households,,6
8,DWA.Q.I9.S14.A.LE.F51M._Z.EUR.S.N,Q,I9,S14,A,LE,F51M,_Z,EUR,S,N,2011-Q1,2674214.59,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Financial business wealth of households,,6
9,DWA.Q.I9.S14.A.LE.F51M._Z.EUR.S.N,Q,I9,S14,A,LE,F51M,_Z,EUR,S,N,2011-Q2,2672294.08,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Financial business wealth of households,,6
10,DWA.Q.I9.S14.A.LE.F51M._Z.EUR.S.N,Q,I9,S14,A,LE,F51M,_Z,EUR,S,N,2011-Q3,2559674.31,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Financial business wealth of households,,6
