,KEY,FREQ,REF_AREA,REF_SECTOR,ACCOUNT_ENTRY,STO,INSTR_ASSET,DWA_GRP,UNIT_MEASURE,VALUATION,TRANSFORMATION,TIME_PERIOD,OBS_VALUE,OBS_STATUS,CONF_STATUS,PRE_BREAK_VALUE,COMMENT_OBS,TIME_FORMAT,COMMENT_TS,COMPILING_ORG,DATA_COMP,DECIMALS,DISS_ORG,TIME_PER_COLLECT,TITLE,TITLE_COMPL,UNIT_MULT
0,DWA.Q.I9.S14.A.LE.NUN.HST.EUR.S.N,Q,I9,S14,A,LE,NUN,HST,EUR,S,N,2009-Q1,938317.2543,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Housing wealth of households - Housing status - Tenant/Free use,,6
1,DWA.Q.I9.S14.A.LE.NUN.HST.EUR.S.N,Q,I9,S14,A,LE,NUN,HST,EUR,S,N,2009-Q2,933975.7482,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Housing wealth of households - Housing status - Tenant/Free use,,6
2,DWA.Q.I9.S14.A.LE.NUN.HST.EUR.S.N,Q,I9,S14,A,LE,NUN,HST,EUR,S,N,2009-Q3,942684.9957,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Housing wealth of households - Housing status - Tenant/Free use,,6
3,DWA.Q.I9.S14.A.LE.NUN.HST.EUR.S.N,Q,I9,S14,A,LE,NUN,HST,EUR,S,N,2009-Q4,948920.3216,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Housing wealth of households - Housing status - Tenant/Free use,,6
4,DWA.Q.I9.S14.A.LE.NUN.HST.EUR.S.N,Q,I9,S14,A,LE,NUN,HST,EUR,S,N,2010-Q1,949624.0082,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Housing wealth of households - Housing status - Tenant/Free use,,6
5,DWA.Q.I9.S14.A.LE.NUN.HST.EUR.S.N,Q,I9,S14,A,LE,NUN,HST,EUR,S,N,2010-Q2,962677.6254,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Housing wealth of households - Housing status - Tenant/Free use,,6
6,DWA.Q.I9.S14.A.LE.NUN.HST.EUR.S.N,Q,I9,S14,A,LE,NUN,HST,EUR,S,N,2010-Q3,972998.8387,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Housing wealth of households - Housing status - Tenant/Free use,,6
7,DWA.Q.I9.S14.A.LE.NUN.HST.EUR.S.N,Q,I9,S14,A,LE,NUN,HST,EUR,S,N,2010-Q4,980989.949,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Housing wealth of households - Housing status - Tenant/Free use,,6
8,DWA.Q.I9.S14.A.LE.NUN.HST.EUR.S.N,Q,I9,S14,A,LE,NUN,HST,EUR,S,N,2011-Q1,981507.5475,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Housing wealth of households - Housing status - Tenant/Free use,,6
9,DWA.Q.I9.S14.A.LE.NUN.HST.EUR.S.N,Q,I9,S14,A,LE,NUN,HST,EUR,S,N,2011-Q2,984370.6577,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Housing wealth of households - Housing status - Tenant/Free use,,6
10,DWA.Q.I9.S14.A.LE.NUN.HST.EUR.S.N,Q,I9,S14,A,LE,NUN,HST,EUR,S,N,2011-Q3,987582.5686,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Housing wealth of households - Housing status - Tenant/Free use,,6
11,DWA.Q.I9.S14.A.LE.NUN.HST.EUR.S.N,Q,I9,S14,A,LE,NUN,HST,EUR,S,N,2011-Q4,973599.7097,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Housing wealth of households - Housing status - Tenant/Free use,,6
12,DWA.Q.I9.S14.A.LE.NUN.HST.EUR.S.N,Q,I9,S14,A,LE,NUN,HST,EUR,S,N,2012-Q1,961872.2019,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Housing wealth of households - Housing status - Tenant/Free use,,6
13,DWA.Q.I9.S14.A.LE.NUN.HST.EUR.S.N,Q,I9,S14,A,LE,NUN,HST,EUR,S,N,2012-Q2,956945.7288,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Housing wealth of households - Housing status - Tenant/Free use,,6
14,DWA.Q.I9.S14.A.LE.NUN.HST.EUR.S.N,Q,I9,S14,A,LE,NUN,HST,EUR,S,N,2012-Q3,950993.4738,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Housing wealth of households - Housing status - Tenant/Free use,,6
15,DWA.Q.I9.S14.A.LE.NUN.HST.EUR.S.N,Q,I9,S14,A,LE,NUN,HST,EUR,S,N,2012-Q4,940962.091,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Housing wealth of households - Housing status - Tenant/Free use,,6
16,DWA.Q.I9.S14.A.LE.NUN.HST.EUR.S.N,Q,I9,S14,A,LE,NUN,HST,EUR,S,N,2013-Q1,926851.81,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Housing wealth of households - Housing status - Tenant/Free use,,6
17,DWA.Q.I9.S14.A.LE.NUN.HST.EUR.S.N,Q,I9,S14,A,LE,NUN,HST,EUR,S,N,2013-Q2,924985.5391,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Housing wealth of households - Housing status - Tenant/Free use,,6
18,DWA.Q.I9.S14.A.LE.NUN.HST.EUR.S.N,Q,I9,S14,A,LE,NUN,HST,EUR,S,N,2013-Q3,927546.7741,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Housing wealth of households - Housing status - Tenant/Free use,,6
19,DWA.Q.I9.S14.A.LE.NUN.HST.EUR.S.N,Q,I9,S14,A,LE,NUN,HST,EUR,S,N,2013-Q4,918073.1507,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Housing wealth of households - Housing status - Tenant/Free use,,6
20,DWA.Q.I9.S14.A.LE.NUN.HST.EUR.S.N,Q,I9,S14,A,LE,NUN,HST,EUR,S,N,2014-Q1,911500.9499,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Housing wealth of households - Housing status - Tenant/Free use,,6
21,DWA.Q.I9.S14.A.LE.NUN.HST.EUR.S.N,Q,I9,S14,A,LE,NUN,HST,EUR,S,N,2014-Q2,914155.9338,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Housing wealth of households - Housing status - Tenant/Free use,,6
22,DWA.Q.I9.S14.A.LE.NUN.HST.EUR.S.N,Q,I9,S14,A,LE,NUN,HST,EUR,S,N,2014-Q3,914451.6565,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Housing wealth of households - Housing status - Tenant/Free use,,6
23,DWA.Q.I9.S14.A.LE.NUN.HST.EUR.S.N,Q,I9,S14,A,LE,NUN,HST,EUR,S,N,2014-Q4,912632.0345,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Housing wealth of households - Housing status - Tenant/Free use,,6
24,DWA.Q.I9.S14.A.LE.NUN.HST.EUR.S.N,Q,I9,S14,A,LE,NUN,HST,EUR,S,N,2015-Q1,918102.8443,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Housing wealth of households - Housing status - Tenant/Free use,,6
25,DWA.Q.I9.S14.A.LE.NUN.HST.EUR.S.N,Q,I9,S14,A,LE,NUN,HST,EUR,S,N,2015-Q2,933972.61,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Housing wealth of households - Housing status - Tenant/Free use,,6
