year,fixed_asset,stock_asset
1994,397066.4,130971.40000000001
1995,399831.5,128776.70000000001
1996,416861.5,118755.90000000001
1997,423410.60000000003,86465.8
1998,418589.80000000005,80110.8
1999,416452.4,138154.5
2000,417722.7,118069.3
2001,412179.9,89292.8
2002,408165.4,82354.40000000001
2003,408502,104872.90000000001
2004,410173.9,119040.1
2005,411553.60000000003,200468.1
2006,418222,199559.1
2007,421092.10000000003,141699.9
2008,423649.4,86221
2009,403801.2,92904.20000000001
2010,398992.30000000005,101407.6
2011,391561,91201.20000000001
2012,385535.2,105419.1
2013,395288.5,154163.2
2014,403339.2,162659.2
2015,400787.60000000003,175106.90000000002
2016,398401.4,167788.2
2017,402794.7,210312.7
2018,403525.5,174265.40000000002
2019,410866.60000000003,187401.30000000002
2020,404354.80000000005,179784.80000000002
2021,435144.5,222988.40000000002
2022,443824.2,202705.6
2023,440209,250212.30000000002
