,KEY,FREQ,REF_AREA,REF_SECTOR,ACCOUNT_ENTRY,STO,INSTR_ASSET,DWA_GRP,UNIT_MEASURE,VALUATION,TRANSFORMATION,TIME_PERIOD,OBS_VALUE,OBS_STATUS,CONF_STATUS,PRE_BREAK_VALUE,COMMENT_OBS,TIME_FORMAT,COMMENT_TS,COMPILING_ORG,DATA_COMP,DECIMALS,DISS_ORG,TIME_PER_COLLECT,TITLE,TITLE_COMPL,UNIT_MULT
0,DWA.Q.I9.S14.A.LE.NUN._Z.EUR.S.N,Q,I9,S14,A,LE,NUN,_Z,EUR,S,N,2009-Q1,26231352.19,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Housing wealth of households,,6
1,DWA.Q.I9.S14.A.LE.NUN._Z.EUR.S.N,Q,I9,S14,A,LE,NUN,_Z,EUR,S,N,2009-Q2,26101572.41,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Housing wealth of households,,6
2,DWA.Q.I9.S14.A.LE.NUN._Z.EUR.S.N,Q,I9,S14,A,LE,NUN,_Z,EUR,S,N,2009-Q3,26271767.86,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Housing wealth of households,,6
3,DWA.Q.I9.S14.A.LE.NUN._Z.EUR.S.N,Q,I9,S14,A,LE,NUN,_Z,EUR,S,N,2009-Q4,26393082.56,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Housing wealth of households,,6
4,DWA.Q.I9.S14.A.LE.NUN._Z.EUR.S.N,Q,I9,S14,A,LE,NUN,_Z,EUR,S,N,2010-Q1,26362161.97,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Housing wealth of households,,6
5,DWA.Q.I9.S14.A.LE.NUN._Z.EUR.S.N,Q,I9,S14,A,LE,NUN,_Z,EUR,S,N,2010-Q2,26683893.34,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Housing wealth of households,,6
6,DWA.Q.I9.S14.A.LE.NUN._Z.EUR.S.N,Q,I9,S14,A,LE,NUN,_Z,EUR,S,N,2010-Q3,26889481.85,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Housing wealth of households,,6
7,DWA.Q.I9.S14.A.LE.NUN._Z.EUR.S.N,Q,I9,S14,A,LE,NUN,_Z,EUR,S,N,2010-Q4,27017125.33,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Housing wealth of households,,6
8,DWA.Q.I9.S14.A.LE.NUN._Z.EUR.S.N,Q,I9,S14,A,LE,NUN,_Z,EUR,S,N,2011-Q1,26948675.29,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Housing wealth of households,,6
9,DWA.Q.I9.S14.A.LE.NUN._Z.EUR.S.N,Q,I9,S14,A,LE,NUN,_Z,EUR,S,N,2011-Q2,27175018.47,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Housing wealth of households,,6
10,DWA.Q.I9.S14.A.LE.NUN._Z.EUR.S.N,Q,I9,S14,A,LE,NUN,_Z,EUR,S,N,2011-Q3,27315124.77,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Housing wealth of households,,6
11,DWA.Q.I9.S14.A.LE.NUN._Z.EUR.S.N,Q,I9,S14,A,LE,NUN,_Z,EUR,S,N,2011-Q4,27046076.98,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Housing wealth of households,,6
12,DWA.Q.I9.S14.A.LE.NUN._Z.EUR.S.N,Q,I9,S14,A,LE,NUN,_Z,EUR,S,N,2012-Q1,26843515.39,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Housing wealth of households,,6
13,DWA.Q.I9.S14.A.LE.NUN._Z.EUR.S.N,Q,I9,S14,A,LE,NUN,_Z,EUR,S,N,2012-Q2,26804414.8,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Housing wealth of households,,6
14,DWA.Q.I9.S14.A.LE.NUN._Z.EUR.S.N,Q,I9,S14,A,LE,NUN,_Z,EUR,S,N,2012-Q3,26706529.16,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Housing wealth of households,,6
15,DWA.Q.I9.S14.A.LE.NUN._Z.EUR.S.N,Q,I9,S14,A,LE,NUN,_Z,EUR,S,N,2012-Q4,26575658.09,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Housing wealth of households,,6
16,DWA.Q.I9.S14.A.LE.NUN._Z.EUR.S.N,Q,I9,S14,A,LE,NUN,_Z,EUR,S,N,2013-Q1,26237204.95,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Housing wealth of households,,6
17,DWA.Q.I9.S14.A.LE.NUN._Z.EUR.S.N,Q,I9,S14,A,LE,NUN,_Z,EUR,S,N,2013-Q2,26327153.23,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Housing wealth of households,,6
18,DWA.Q.I9.S14.A.LE.NUN._Z.EUR.S.N,Q,I9,S14,A,LE,NUN,_Z,EUR,S,N,2013-Q3,26526970.27,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Housing wealth of households,,6
19,DWA.Q.I9.S14.A.LE.NUN._Z.EUR.S.N,Q,I9,S14,A,LE,NUN,_Z,EUR,S,N,2013-Q4,26436205.2,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Housing wealth of households,,6
20,DWA.Q.I9.S14.A.LE.NUN._Z.EUR.S.N,Q,I9,S14,A,LE,NUN,_Z,EUR,S,N,2014-Q1,26419071.94,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Housing wealth of households,,6
21,DWA.Q.I9.S14.A.LE.NUN._Z.EUR.S.N,Q,I9,S14,A,LE,NUN,_Z,EUR,S,N,2014-Q2,26654268.03,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Housing wealth of households,,6
22,DWA.Q.I9.S14.A.LE.NUN._Z.EUR.S.N,Q,I9,S14,A,LE,NUN,_Z,EUR,S,N,2014-Q3,26818757.46,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Housing wealth of households,,6
23,DWA.Q.I9.S14.A.LE.NUN._Z.EUR.S.N,Q,I9,S14,A,LE,NUN,_Z,EUR,S,N,2014-Q4,26698840.73,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Housing wealth of households,,6
24,DWA.Q.I9.S14.A.LE.NUN._Z.EUR.S.N,Q,I9,S14,A,LE,NUN,_Z,EUR,S,N,2015-Q1,26674672.05,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Housing wealth of households,,6
25,DWA.Q.I9.S14.A.LE.NUN._Z.EUR.S.N,Q,I9,S14,A,LE,NUN,_Z,EUR,S,N,2015-Q2,26992830.44,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Housing wealth of households,,6
26,DWA.Q.I9.S14.A.LE.NUN._Z.EUR.S.N,Q,I9,S14,A,LE,NUN,_Z,EUR,S,N,2015-Q3,27280823.7,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Housing wealth of households,,6
27,DWA.Q.I9.S14.A.LE.NUN._Z.EUR.S.N,Q,I9,S14,A,LE,NUN,_Z,EUR,S,N,2015-Q4,27339312.04,E,F,,,P3M,Euro area 20 (fixed composition) as of 1 January 2023 - Households - Closing balance sheet/Positions/Stocks - Assets (Net Acquisition of) - Euro,,,4,,E,Housing wealth of households,,6
